occupation,count
Clork At Coal Mined,1
Clork Maker-(Finisher),1
Clork Repairer,1
Close Dealer,1
Close Prener,1
Close Range Setter,1
Closer of Sercotine Sales,1
Closher,1
Closhopasser (Linen),1
Cloth - Lifter,1
Cloth Agent,1
Cloth Basser,1
Cloth Beamer,1
Cloth Beether,1
Cloth Beetler in Bleaching Green,1
Cloth Beettler in Beetling Mill,1
Cloth Bleacher (Foreman),1
Cloth Bleaches,1
Cloth Breanther,1
Cloth Buyer,1
Cloth Cap Maker,1
Cloth Carrier,1
Cloth Case Maker,1
Cloth Checker,1
Cloth Chopper,1
Cloth Cleaner in Factory,1
Cloth Clerk,1
Cloth Crapper,1
Cloth Crisper,1
Cloth Cropper Retired from Coorper,1
Cloth Cropper in Factory,1
Cloth Cutters Apprentice,1
Cloth Damper,1
Cloth Dryer,1
Cloth Dryies in a Bleach Work,1
Cloth Dyed,1
Cloth Finesher,1
Cloth Finish Lanaff,1
Cloth Finisher Vat of Employment,1
Cloth Finisher in Dyeworks,1
Cloth Finisher in Factory,1
Cloth Finisher in Linen Factory,1
Cloth Finisher in Works,1
"Cloth Finisher, Not Attending School",1
Cloth Finishers in Dye and Bleach Works,1
Cloth Folder Linen Trade,1
Cloth Funder,1
Cloth Furnisher Beetling Engine Man,1
Cloth Grocer,1
Cloth Inspecter,1
Cloth Inspector,1
Cloth Inspector in Linen Factory,1
Cloth Keeper,1
Cloth Laner Factory,1
Cloth Lapper in Bleach Works,1
Cloth Lapper in Factory,1
Cloth Laundress,1
Cloth Maker,1
Cloth Manufacturer,1
Cloth Marker in Bleach and Dye Works,1
Cloth Marker in Cloth Factory,1
Cloth Marker in Factory,1
Cloth Measurer (Linen),1
Cloth Measurer Linen,1
Cloth Measurer in Linen Warehouse,1
Cloth Ornamenter,1
Cloth Packer-Weaving Factory,1
Cloth Paners (Apprentice),1
Cloth Parceling,1
Cloth Parser,1
Cloth Passer Linen Manufacutrer's,1
Cloth Passer Mill Worker,1
Cloth Passer Unemployed,1
Cloth Passer Ware House,1
Cloth Passer Wareroom,1
Cloth Passer and Factory,1
Cloth Passer and Lime Keeper,1
Cloth Passer in Linen Weaving Factory,1
Cloth Passer in Ware Room,1
Cloth Passer in a Linen Factory,1
Cloth Passer's Assistant,1
Cloth Pedlar,1
Cloth Picker in Linen Weaving Factory Factory,1
Cloth Picker in Woollen Factory,1
Cloth Posser,1
Cloth Presser in Factory,1
Cloth Presses,1
Cloth Pressor,1
Cloth Prsser,1
Cloth Purrer,1
Cloth Ricker,1
Cloth Risser,1
Cloth Rosser,1
Cloth Salesman,1
Cloth Scouren in Wool Factory,1
Cloth Shop Assistant Unemployed,1
Cloth Shopkeeper,1
Cloth Singer,1
Cloth Sorter,1
Cloth Sorter in Bleach Works,1
Cloth Spreader,1
Cloth Starcher,1
Cloth Steemer,1
Cloth Stifferer,1
