occupation,count
Assistant Grocer and C,2
Assistant Grocer and Wine Merchant,2
Assistant Grocery and Spirit Trade,2
Assistant Grocery and Tea Trade,2
Assistant Groom,2
Assistant H Surveyer,2
Assistant Hairdresser,2
Assistant Hardware Shop,2
Assistant Hardware and Seed Merchant,2
Assistant Help,2
Assistant Helper,2
Assistant Hotel Manager,2
Assistant House K,2
Assistant House Work,2
Assistant Housekeeper Domestic,2
Assistant Housewife,2
Assistant Husbandy,2
Assistant Iron Monger,2
Assistant Jeweller,2
Assistant Light Keeper,2
Assistant Lighthouse Keeper,2
Assistant Lodging House Keeper,2
Assistant M Hall,2
Assistant M P.O.,2
Assistant Machinist,2
Assistant Manager Creamery,2
Assistant Manager in Linen Factory,2
Assistant Manageres,2
Assistant Manageress Laundry,2
Assistant Matron Prisons Service,2
Assistant Mechant,2
Assistant Miliner,2
Assistant Milner,2
Assistant Mistress,2
Assistant N School Teacher,2
Assistant N. S. Teacher,2
Assistant Nurse in Infirmary,2
Assistant Optician,2
Assistant P O,2
Assistant P. O,2
Assistant Patron,2
Assistant Pawn Office,2
Assistant Petty Session Clerk,2
Assistant Photographer,2
Assistant Post Master,2
Assistant Provision Business,2
Assistant Railway Manager,2
Assistant Registrar,2
Assistant Restaurant,2
Assistant Restraunt Keeper,2
Assistant Restrnt. Room,2
Assistant S L Mistress,2
Assistant Sales,2
Assistant Saleswoman,2
Assistant School Master,2
Assistant Shipyard Manager,2
Assistant Shoe Maker,2
Assistant Shop Boy,2
Assistant Shop Leather Merchant,2
Assistant Shopboy,2
Assistant Shophand,2
Assistant Shopkeeper and c,2
Assistant Sp Mercht,2
Assistant Spirit Business,2
Assistant Spirit Grocer,2
Assistant Spirit in Wine and Store,2
Assistant Station Master,2
Assistant Stationer Shop,2
Assistant Stationery,2
Assistant Stationery Business,2
Assistant Storekeeper,2
Assistant Storeman,2
Assistant Tea Trade,2
Assistant Trapper,2
Assistant Union Clerk,2
Assistant Victular,2
Assistant Victuller,2
Assistant Weaver,2
Assistant Wholesale Drapery,2
Assistant Wine Spirit Trade,2
Assistant Wine and Spirit Business,2
Assistant Wine and Spirit Trade,2
Assistant a Linen Stock Room,2
Assistant and Grocer,2
Assistant and H - Keeper,2
Assistant and Housekeeper,2
Assistant and Postmaster,2
Assistant at Above,2
Assistant at Boot Trade,2
Assistant at Business,2
Assistant at China Business,2
Assistant at Creamery,2
Assistant at Farm Work,2
Assistant at House,2
Assistant at Leather Business,2
Assistant at Post Office,2
Assistant at Shop,2
Assistant at the Grocery,2
Assistant in Beer Shop and Grocery,2
Assistant in Bleach Works,2
Assistant in Bookshop,2
Assistant in Bread Shop,2
Assistant in Buisness,2
Assistant in Butter Factory,2
Assistant in Cloth Shop,2
Assistant in Confectionery Business,2
Assistant in Confectionery Shop,2
Assistant in Cork Factory,2
Assistant in Domestic Use,2
Assistant in Draper's Shop,2
Assistant in Drapery,2
Assistant in Drapery Shop,2
Assistant in Farming,2
Assistant in Flax Factory,2
Assistant in Grocers,2
Assistant in Grocers Shop,2
Assistant in Grocery Store,2
Assistant in Hemstitching Wareroom,2
Assistant in Hotel Bar,2
Assistant in House Work,2
Assistant in Household Work,2
Assistant in Laundry,2
Assistant in Library,2
Assistant in Linen Factory,2
Assistant in P Office,2
Assistant in P.O,2
Assistant in P.Office and Draper,2
Assistant in Provision Merchant Shop,2
Assistant in Pub House,2
Assistant in Seed Shop,2
Assistant in Shop Keeper and Farmer,2
Assistant in Shope,2
Assistant in Soap Factory,2
Assistant in Spirit Store,2
Assistant in Spirit Trade,2
Assistant in Stationery Shop,2
Assistant in Store,2
Assistant in Sweet Factory,2
Assistant in Wine Store,2
Assistant in above,2
Assistant in above Hotel,2
Assistant of Church,2
Assistant of Excise (I.Revenue),2
Assistant of Grocery and Provision House,2
