occupation,count
Shop Girl Grocer's Asst,1
Shop Girl Grocers Asst,1
Shop Girl Grocery and Bar,1
Shop Girl Grocery and c,1
Shop Girl Mill at Floor,1
Shop Girl Millinery,1
Shop Girl Printing,1
Shop Girl Restaurant,1
Shop Girl Saleswoman,1
Shop Girl Spirit Store,1
Shop Girl Stationer,1
Shop Girl Tea and Wine,1
Shop Girl Tobacconist,1
Shop Girl Unimployed,1
Shop Girl and Barmaid,1
Shop Girl and C,1
Shop Girl and Domestic Servant,1
Shop Girl in Butcher's,1
Shop Girl in Drugist Shop,1
Shop Girl in Fruiters,1
Shop Girl in General Drapery,1
Shop Girl in a Crovan Stall,1
Shop Girl to Glass and China,1
"Shop Girl, Drapery",1
"Shop Girl, Dropery Unemployed",1
"Shop Girl, Grocer",1
"Shop Girl, Milliner",1
Shop Girl-Boots,1
Shop Girl-Boots Dept,1
Shop Girl-Confectionery,1
Shop Girl-Draperess,1
Shop Girl-Drapery,1
Shop Girl-Grocers,1
Shop Girl-Grocery,1
Shop Girl-Liquor Trade,1
Shop Girl-Stationery,1
Shop Girll,1
Shop Green Grocer,1
Shop Grocer and Publican,1
Shop Grocer and Publicans Assistant,1
Shop Grocer's,1
Shop Grocers Porter,1
Shop Hana Drapery,1
Shop Hands,1
Shop Hardware Assistant,1
Shop Herd (Boot Shops),1
Shop Herd Agrl Labourer,1
Shop Herd Farmer,1
Shop Herds,1
Shop Housekeeper,1
Shop Ironman Boot,1
Shop Kaper,1
Shop Keaper,1
Shop Keep Farmer,1
Shop Keep Publican,1
Shop Keepe,1
Shop Keepeeper,1
"Shop Keepeer, Confectionery and c",1
"Shop Keeper ""Grocer""",1
Shop Keeper & Farmer,1
Shop Keeper (Boot Warehouse),1
Shop Keeper (Boot and Shoe Dept),1
Shop Keeper (Boots),1
Shop Keeper (Chandlery and C),1
Shop Keeper (Chandlery and Tobacco),1
Shop Keeper (Confecty),1
Shop Keeper (Cook),1
Shop Keeper (Dairy),1
Shop Keeper (Dealer),1
Shop Keeper (Delph Dealer),1
Shop Keeper (Delph Glass and ?),1
Shop Keeper (Drapers),1
Shop Keeper (Farmer),1
Shop Keeper (Flour and Mill),1
Shop Keeper (General),1
Shop Keeper (Green Grocer),1
Shop Keeper (Grocer and Provision),1
Shop Keeper (Grocer) Farmer,1
Shop Keeper (Grocers Provision),1
Shop Keeper (Grocery and Fancy Warehouse),1
Shop Keeper (Grocery and Hardware),1
Shop Keeper (Grocery and c),1
Shop Keeper (House Meal),1
Shop Keeper (Lothier),1
Shop Keeper (Post Office),1
Shop Keeper (Post Office) Wife,1
Shop Keeper (Provisions),1
Shop Keeper (Public-House),1
