occupation,count
Professed Nun,16
Proffessor of Music,16
Public Accountant,16
Queen's Scholar,16
R C Sister of Mercy,16
Railway Servant Porter,16
Railway-Labourer,16
Read and Write,16
Religious-Teacher,16
Retired Accountant,16
Retired Cook Domestic Servant,16
Retired Dairyman,16
Retired Gardner,16
Retired Hotel Keeper,16
Retired Sergt R.I.C,16
Room-Keeper,16
Royal Irish Constabulary,16
Saimstress,16
Sanitary Officer,16
Scho,16
Scholal,16
Scholar None,16
Scholl Boy,16
Schololar,16
School Monitor,16
Schoole,16
Schoral,16
Schoular,16
Scolors,16
Seamstress and Farmer,16
Servant Coachman,16
Servant Cook Domestic,16
Servant-Nurse,16
Ship Agent,16
Shirt Makers,16
Shirt Stitcher,16
Shop Domestic Servant,16
Shopkeeper Draper,16
Showman,16
Singer,16
Small Shop Keeper,16
Soldiers Daughter,16
Spinner Factory,16
Spirit Merchant and Farmer,16
Stableman Domestic Servant,16
Steam Loom Weaver,16
Stone Sawyer,16
Student Medical,16
Sub-Postmistress,16
Teacher (School),16
Teacher and Farmer,16
Teachers Daughter,16
Tow Carder,16
Under Graduate,16
Under Steward,16
Undergraduate T.C.D.,16
Vocalist,16
Warder Prisons Service,16
Ware House,16
Wareroom Hand,16
Weaving,16
Widow of Farmer,16
Wine Merchants Clerk,16
Wool Spiner,16
Woolspinner,16
Woolweaver,16
Work in Factory,16
Yarn Drier,16
Young Child,16
(Linen) Mill Worker,15
1st Engineer,15
A Child,15
A Farmers Wife,15
Agrcl Labourer,15
Agrcultural Labourer,15
Agricultur Labour,15
Apprentice Black Smith,15
Apprentice to Carpentry,15
Apprentice to Grocer,15
Architect and Civil Engineer,15
Assistant Blacksmith,15
Assistant in Post Office,15
Assisting House Keeper,15
Assisting Housekeeper,15
Asylum Attat,15
Attg School,15
Augricultural Labourer,15
Backer,15
Baker Journeyman,15
Baker's Apprentice,15
Bank Clark,15
Bank Inspector,15
Barmaid Domestic Servant,15
Baronet,15
Beetler in Beetling Mill,15
Bleacher (Linen),15
Boot Top Fitter,15
Bread-Server,15
Brewer's Labourer,15
Brewery Pensioner,15
Builders Laborer,15
Buisness,15
Business Manager,15
Butler Merchant,15
Caretaker's Wife,15
Carman Labourer,15
Carmelite Gun Helping of Support themselves by Manual Works,15
Carpenter (Apprentice),15
